Observación,Sexo,Edad,Educación,Ingresos,Cuenta Nomina,Tipo de Ingreso,Tarjeta de Credito,Frecuencia de Uso,Dicsiplina Financiera,Actitud,Ahorro
810,1,23,2,12000,1,2,1,3,1,3,1
693,1,23,2,56000,1,1,1,4,1,3,2
1887,2,25,2,8400,1,2,1,1,1,3,1
698,1,26,2,8800,1,2,1,6,1,3,1
407,2,27,2,14400,1,2,1,2,1,3,1
1614,2,28,2,6400,1,1,1,4,1,3,1
1207,1,32,2,6000,2,1,1,1,1,3,1
1428,1,36,2,16000,2,1,1,4,1,3,1
1038,2,37,2,7200,1,1,1,8,1,3,1
949,1,38,2,12000,2,2,1,8,1,3,1
46,1,39,2,15000,1,1,2,6,1,3,1
1189,1,40,2,40000,1,2,1,4,1,3,1
267,1,41,2,10000,1,1,1,6,1,3,1
1050,2,41,2,16000,1,1,2,4,1,3,2
672,1,44,2,8000,1,2,1,1,1,3,1
1077,1,48,2,40000,1,1,1,3,1,3,1
1897,1,49,2,10800,1,2,1,4,1,3,1
757,1,49,2,40000,1,2,1,4,1,3,2
1837,1,50,2,5200,2,1,1,4,1,3,2
162,1,50,2,16000,2,2,1,8,1,3,1
1190,2,52,2,7200,2,2,1,6,1,3,1
1446,2,55,2,7600,1,2,1,1,1,3,1
1779,1,56,2,8000,1,2,1,1,1,3,2
497,1,56,2,12000,2,2,1,1,1,3,1
435,1,59,2,32000,1,2,1,4,1,3,2
555,1,60,2,28000,1,2,1,4,1,3,2
1438,2,61,2,10000,2,2,1,4,1,3,1
1420,2,61,2,40000,1,2,1,2,1,3,2
771,2,63,2,6000,1,2,1,1,1,3,1
399,1,65,2,6000,1,2,1,2,1,3,2
173,1,65,2,56000,1,2,1,1,1,3,1
346,1,66,2,7200,1,2,1,1,1,3,1
708,2,67,2,28000,1,2,2,3,1,3,2
441,2,68,2,7200,2,2,1,1,1,3,2
180,2,73,2,32000,1,1,1,8,1,3,2
1983,1,75,2,4800,1,2,1,4,1,3,2
950,1,80,2,9000,1,1,2,6,1,3,2
577,1,23,3,6000,2,1,1,1,1,3,2
384,1,28,3,10000,2,2,1,1,1,3,1
991,2,30,3,10000,1,2,2,4,1,3,1
1559,1,30,3,10352,1,2,1,4,1,3,1
1185,1,31,3,8000,1,2,2,2,1,3,1
176,1,32,3,52000,1,1,1,6,1,3,2
1646,2,33,3,13000,2,2,1,4,1,3,1
1615,2,34,3,28000,1,1,1,8,1,3,1
215,1,37,3,5000,1,2,2,4,1,3,1
749,1,37,3,6000,2,2,1,8,1,3,2
1156,1,38,3,44000,1,1,1,1,1,3,1
1002,2,39,3,40000,1,2,1,5,1,3,2
981,1,42,3,6000,2,1,1,2,1,3,1
1417,2,42,3,18000,1,2,1,6,1,3,1
1331,2,43,3,8000,2,1,2,2,1,3,2
1383,2,43,3,19200,1,1,1,2,1,3,2
468,1,44,3,6000,2,2,1,6,1,3,1
486,1,44,3,8000,2,2,1,3,1,3,1
280,2,45,3,8000,2,2,1,1,1,3,1
91,2,45,3,14600,1,2,1,4,1,3,1
135,2,45,3,48000,2,2,1,4,1,3,1
405,2,48,3,5000,1,1,1,4,1,3,2
240,2,48,3,48000,1,1,1,6,1,3,2
251,1,50,3,6800,1,1,1,1,1,3,2
878,1,52,3,24000,1,2,2,1,1,3,1
608,1,52,3,44000,1,2,1,6,1,3,1
676,1,54,3,5000,1,2,1,6,1,3,1
449,1,54,3,22800,1,2,1,1,1,3,1
1132,1,55,3,6000,2,2,2,4,1,3,2
684,1,61,3,12000,1,1,1,4,1,3,1
690,2,65,3,6000,2,1,1,4,1,3,2
1808,2,68,3,7000,2,2,1,8,1,3,1
1977,2,74,3,16000,1,2,1,1,1,3,2
1257,1,78,3,15000,1,2,2,3,1,3,2
366,1,90,3,18000,1,2,1,4,1,3,1
2038,1,44,4,7000,2,2,2,4,1,3,1
1240,1,48,4,7500,1,1,1,4,1,3,1
1510,1,57,4,42400,1,1,1,4,1,3,1
862,1,68,4,7200,1,2,1,1,1,3,2
626,1,42,1,10000,2,2,1,5,0,2,2
1688,1,66,1,6400,1,2,2,4,0,2,2
830,2,49,2,8000,2,2,1,1,0,2,2
1908,1,44,1,16000,1,2,1,1,0,2,2
1429,1,62,1,20000,1,1,1,1,0,2,1
71,1,25,0,8000,1,1,1,1,3,2,2
225,2,37,1,7200,2,2,1,1,3,2,1
618,1,60,1,13000,1,2,1,6,3,2,1
1708,1,65,1,4800,2,2,2,2,3,2,1
1705,1,60,3,8400,1,2,2,2,3,2,1
1427,1,62,3,27200,1,1,1,6,3,2,2
69,1,22,0,6000,1,2,2,4,2,2,2
101,2,28,0,19000,1,1,1,6,2,2,1
113,1,31,0,34000,1,1,1,1,2,2,1
119,2,35,0,14000,1,1,2,6,2,2,2
58,1,36,0,7000,1,1,1,1,2,2,2
283,1,41,0,16000,1,1,2,4,2,2,1
8,2,53,0,36000,2,1,1,3,2,2,2
234,2,61,0,36000,2,1,1,6,2,2,2
1665,1,64,0,5000,2,1,2,6,2,2,1
1104,2,68,0,48000,1,1,2,1,2,2,2
1995,1,82,0,36000,1,1,1,4,2,2,2
1085,2,46,1,38276,1,2,1,6,2,2,1
1604,2,20,1,8000,2,2,1,4,2,2,1
164,1,22,1,12000,1,1,1,6,2,2,1
1308,1,24,1,44000,1,2,1,6,2,2,1
447,1,28,1,7200,1,2,1,4,2,2,1
1795,1,29,1,14000,1,2,1,4,2,2,2
940,1,30,1,7200,2,2,2,1,2,2,1
1328,1,30,1,14000,2,2,1,2,2,2,1
220,2,31,1,12000,1,1,1,6,2,2,2
1124,1,31,1,16000,2,2,1,6,2,2,2
146,1,34,1,15000,1,2,2,1,2,2,2
1191,1,36,1,40000,1,2,1,4,2,2,1
1481,1,37,1,32000,2,2,1,4,2,2,1
1026,1,37,1,48000,2,1,2,3,2,2,1
1432,1,39,1,5600,2,2,1,1,2,2,2
1590,1,40,1,5000,2,2,1,1,2,2,1
2050,1,40,1,30000,1,1,1,4,2,2,2
1951,2,40,1,46000,1,2,1,1,2,2,1
1759,1,41,1,20000,1,2,1,8,2,2,1
401,1,42,1,5000,1,1,1,6,2,2,2
699,1,44,1,7200,2,1,1,1,2,2,2
794,1,44,1,24000,1,2,1,1,2,2,2
2076,2,45,1,9200,1,2,1,6,2,2,2
1196,1,45,1,13600,1,1,2,2,2,2,1
1503,2,46,1,4800,2,1,1,6,2,2,2
1761,2,47,1,16000,1,2,1,8,2,2,1
1062,1,48,1,4800,1,1,1,4,2,2,1
322,1,48,1,60000,1,2,2,4,2,2,1
222,1,49,1,6000,1,2,1,1,2,2,2
564,2,49,1,15000,1,1,1,4,2,2,1
2018,1,49,1,48000,1,2,1,5,2,2,1
137,2,50,1,6000,2,2,1,4,2,2,1
2072,1,50,1,12000,2,1,1,2,2,2,1
547,2,50,1,40000,1,1,1,1,2,2,1
963,1,51,1,28000,1,1,2,3,2,2,2
1075,2,52,1,8800,2,2,1,4,2,2,1
1947,1,52,1,25000,1,2,1,1,2,2,2
1079,1,52,1,48000,1,2,1,2,2,2,1
1435,1,54,1,18000,2,2,1,4,2,2,1
2010,2,55,1,8800,1,1,1,6,2,2,1
1529,2,57,1,6960,1,2,2,1,2,2,1
398,2,57,1,50000,2,1,1,1,2,2,2
1097,1,58,1,11200,1,2,1,4,2,2,1
1093,2,58,1,18000,1,1,1,6,2,2,2
1142,1,60,1,20000,2,1,1,4,2,2,2
261,1,61,1,28000,1,1,1,6,2,2,1
464,1,62,1,19600,1,2,1,4,2,2,1
867,2,62,1,32000,1,1,1,4,2,2,1
2045,1,63,1,10000,1,2,1,2,2,2,1
596,2,64,1,40000,1,2,1,6,2,2,1
630,2,65,1,16000,1,2,1,8,2,2,2
501,1,66,1,8000,2,2,1,6,2,2,1
471,2,66,1,24000,1,1,2,6,2,2,1
395,1,67,1,25000,1,2,1,6,2,2,1
145,2,67,1,34000,1,2,1,1,2,2,1
997,1,68,1,20000,2,2,1,6,2,2,1
1773,1,68,1,24000,1,1,1,1,2,2,2
1347,1,69,1,32000,2,2,1,4,2,2,2
775,1,70,1,10800,1,2,1,3,2,2,2
1443,1,71,1,8000,2,1,1,6,2,2,1
24,1,73,1,10000,1,1,1,1,2,2,2
227,1,74,1,24000,1,1,1,1,2,2,1
1107,1,76,1,20000,2,2,1,4,2,2,1
1771,2,80,1,16000,1,2,1,4,2,2,1
1981,2,82,1,36000,1,1,1,1,2,2,1
1924,1,85,1,7200,1,1,2,2,2,2,1
1571,2,22,2,5200,1,1,1,1,2,2,2
1071,1,23,2,6400,2,1,1,8,2,2,1
813,2,23,2,10000,1,1,1,5,2,2,2
964,1,26,2,5600,2,2,2,4,2,2,1
1001,1,26,2,7200,1,1,2,4,2,2,1
2001,1,26,2,12000,1,2,1,6,2,2,1
277,1,27,2,8000,2,2,1,1,2,2,2
1470,1,28,2,8000,1,1,2,1,2,2,2
1041,1,28,2,10000,1,2,1,4,2,2,1
941,2,31,2,5000,2,2,1,1,2,2,1
208,2,32,2,10800,1,1,1,1,2,2,1
1145,1,37,2,14400,1,1,2,1,2,2,1
1608,2,38,2,4800,1,2,1,6,2,2,1
1022,1,39,2,7200,2,2,1,1,2,2,2
413,2,39,2,32000,1,1,2,4,2,2,2
1956,1,40,2,5600,2,1,1,1,2,2,2
1231,1,40,2,25200,2,2,1,4,2,2,2
1410,1,40,2,60000,1,2,1,6,2,2,2
820,1,41,2,4800,2,1,1,4,2,2,2
394,1,42,2,6000,2,2,1,6,2,2,1
1678,1,43,2,6000,1,2,1,1,2,2,1
1603,1,43,2,20000,2,1,1,1,2,2,2
309,1,48,2,6000,2,1,1,4,2,2,2
933,2,49,2,16000,2,1,1,6,2,2,2
1515,1,50,2,6000,1,2,1,6,2,2,1
1125,1,51,2,20000,1,1,1,1,2,2,2
1154,2,52,2,12000,1,2,2,6,2,2,2
658,1,53,2,12000,2,2,1,8,2,2,2
1988,1,54,2,24000,1,2,1,4,2,2,1
374,1,55,2,6000,1,2,1,4,2,2,1
927,1,55,2,6000,1,1,1,4,2,2,1
1066,1,56,2,9000,1,1,2,4,2,2,2
2046,2,58,2,36000,1,1,2,1,2,2,1
1727,1,59,2,40000,1,1,2,3,2,2,1
1325,1,62,2,8000,1,1,1,6,2,2,1
1496,1,79,2,8000,1,1,1,1,2,2,2
1155,1,81,2,20000,1,1,1,4,2,2,1
947,1,26,3,9600,1,1,2,4,2,2,2
1291,1,27,3,5600,2,1,1,1,2,2,2
1718,1,29,3,10800,1,1,1,4,2,2,2
661,2,30,3,10000,1,2,1,1,2,2,1
774,1,37,3,6000,2,1,1,1,2,2,2
1301,1,37,3,32000,1,1,1,8,2,2,1
646,1,38,3,9600,1,1,1,2,2,2,1
1534,1,38,3,36800,1,2,1,2,2,2,1
1307,1,39,3,20000,2,1,1,6,2,2,2
729,1,40,3,52000,1,2,1,1,2,2,1
436,1,41,3,10000,1,2,2,2,2,2,1
746,1,45,3,8000,2,1,1,6,2,2,2
1519,2,48,3,5000,1,1,1,1,2,2,2
866,1,48,3,20000,1,2,1,2,2,2,1
1499,1,49,3,40000,1,2,1,1,2,2,2
1009,1,50,3,50000,1,1,1,6,2,2,2
214,1,51,3,20000,1,1,1,1,2,2,1
913,1,56,3,12800,2,2,1,1,2,2,1
1962,1,57,3,7800,1,1,1,6,2,2,1
1382,2,58,3,17200,1,1,1,4,2,2,1
890,1,59,3,7000,1,1,1,1,2,2,2
1585,2,61,3,6400,1,1,2,2,2,2,1
39,1,64,3,32000,1,2,1,6,2,2,2
128,1,67,3,24000,1,2,1,4,2,2,1
573,2,74,3,13200,1,2,1,1,2,2,1
98,1,37,4,9200,1,2,1,4,2,2,2
879,2,40,4,36000,2,2,2,1,2,2,1
56,1,22,0,9000,1,2,1,8,1,2,2
70,2,18,0,6000,1,2,2,1,1,2,2
68,1,25,0,16000,2,2,2,4,1,2,1
49,2,50,0,60000,2,2,2,1,1,2,1
21,1,18,0,6000,1,1,1,8,1,2,2
60,1,25,0,24000,1,2,1,6,1,2,2
100,2,23,0,5500,1,2,1,4,1,2,2
92,2,28,0,10000,2,2,1,4,1,2,2
65,1,31,0,17000,1,2,1,2,1,2,2
94,2,22,0,20800,1,1,1,1,1,2,2
82,2,21,0,60000,1,2,1,8,1,2,2
37,2,23,0,14000,1,2,1,1,1,2,1
74,2,25,0,16000,2,2,1,5,1,2,1
63,2,25,0,40000,1,1,1,3,1,2,2
120,1,32,0,16000,2,2,1,6,1,2,1
89,2,34,0,20000,1,1,2,4,1,2,2
85,1,35,0,30000,1,2,1,6,1,2,1
129,1,39,0,24800,2,1,1,4,1,2,1
97,2,41,0,8000,2,1,2,2,1,2,1
629,1,50,0,24000,1,2,2,2,1,2,1
78,2,52,0,8800,1,2,1,1,1,2,2
1592,2,52,0,14000,1,2,1,1,1,2,2
93,2,53,0,5000,1,1,1,1,1,2,1
1984,1,55,0,16000,1,2,1,3,1,2,1
648,1,56,0,5000,1,2,1,1,1,2,2
248,1,56,0,14000,1,2,1,1,1,2,1
340,1,58,0,8000,1,1,1,4,1,2,1
959,1,61,0,20000,1,1,2,6,1,2,1
40,2,63,0,12000,1,1,2,4,1,2,2
118,2,64,0,10000,2,1,1,3,1,2,2
599,2,64,0,10000,2,2,2,6,1,2,1
377,1,68,0,22000,1,1,1,4,1,2,1
73,2,72,0,8000,2,1,1,1,1,2,1
1184,1,73,0,10000,2,1,1,6,1,2,1
1822,1,74,0,26000,1,2,1,2,1,2,2
266,1,76,0,32000,1,1,2,1,1,2,1
1122,2,78,0,14000,1,1,2,1,1,2,2
1250,1,80,0,7200,2,2,1,6,1,2,2
53,2,80,0,10000,1,2,1,2,1,2,2
48,2,82,0,8000,1,1,1,8,1,2,2
1575,2,83,0,15000,1,2,1,4,1,2,1
1642,2,84,0,5000,2,1,1,7,1,2,2
1278,2,84,0,7200,1,1,1,4,1,2,1
83,2,85,0,20000,1,1,1,1,1,2,2
1754,2,85,0,40000,1,2,1,4,1,2,1
1293,2,88,0,10000,2,2,1,1,1,2,1
674,2,89,0,7200,1,1,2,1,1,2,1
719,1,89,0,28000,1,1,1,3,1,2,2
1827,1,56,1,56000,1,1,1,4,1,2,2
1162,1,21,1,4800,2,2,1,6,1,2,1
1886,1,21,1,16000,2,2,1,4,1,2,1
1461,2,21,1,32000,2,2,1,3,1,2,1
600,1,23,1,4700,2,2,1,1,1,2,1
1751,1,23,1,10000,2,2,1,1,1,2,1
1488,1,23,1,17000,1,1,1,1,1,2,2
1424,2,26,1,15000,2,1,1,6,1,2,2
883,1,27,1,7200,1,2,1,8,1,2,1
338,1,28,1,18000,1,1,1,4,1,2,1
241,2,28,1,50000,1,2,1,6,1,2,1
824,1,29,1,12000,1,1,1,1,1,2,1
1930,2,29,1,16000,2,2,1,4,1,2,1
544,1,30,1,5000,1,2,2,2,1,2,1
429,1,30,1,7200,1,1,1,4,1,2,1
1324,1,30,1,10000,1,1,1,4,1,2,2
1775,1,30,1,20000,1,2,2,1,1,2,2
2009,2,31,1,32000,1,2,1,4,1,2,1
1485,1,32,1,24800,2,1,1,6,1,2,1
1404,1,32,1,32000,1,2,1,4,1,2,1
260,1,32,1,36000,2,2,2,4,1,2,1
1148,1,33,1,4800,2,2,1,8,1,2,1
1612,1,33,1,36000,1,2,1,8,1,2,1
2030,1,33,1,64000,1,1,2,1,1,2,1
402,1,34,1,8000,1,2,1,2,1,2,1
1502,1,34,1,9200,1,2,1,1,1,2,2
1743,1,34,1,52000,1,2,1,4,1,2,2
1745,1,35,1,12000,1,1,2,1,1,2,1
1630,1,35,1,40000,1,2,2,4,1,2,1
1925,1,36,1,32000,1,2,2,4,1,2,2
1008,1,37,1,6000,2,1,2,1,1,2,1
1433,1,37,1,8000,2,2,1,4,1,2,2
1367,1,37,1,18000,1,1,1,1,1,2,1
1202,2,37,1,24000,1,2,1,2,1,2,1
1884,2,38,1,5500,1,2,1,6,1,2,1
2079,1,38,1,7000,2,2,1,4,1,2,2
894,1,38,1,8000,1,1,2,2,1,2,2
770,2,38,1,56000,1,1,1,6,1,2,2
1739,1,39,1,6000,1,1,2,1,1,2,2
2042,2,39,1,12000,2,2,2,3,1,2,1
454,2,39,1,14000,1,1,2,1,1,2,2
957,2,39,1,32000,2,1,2,1,1,2,2
2069,2,40,1,4800,2,2,1,1,1,2,2
677,2,40,1,6000,1,1,1,1,1,2,1
11,1,40,1,7200,1,2,1,4,1,2,2
1895,1,40,1,12000,1,2,1,1,1,2,1
538,2,40,1,16000,2,2,1,4,1,2,2
496,1,40,1,20000,2,2,2,8,1,2,2
2025,1,40,1,24000,2,1,1,6,1,2,2
484,2,40,1,62400,1,2,1,1,1,2,1
320,1,41,1,6000,1,2,1,2,1,2,1
921,1,41,1,8000,2,2,1,6,1,2,2
1208,1,41,1,8000,2,2,1,8,1,2,1
871,1,41,1,10000,1,1,1,4,1,2,1
1726,2,41,1,60000,2,2,2,4,1,2,2
455,1,42,1,4800,2,1,1,1,1,2,1
724,2,42,1,6000,1,1,1,4,1,2,2
369,1,43,1,8000,1,1,1,4,1,2,1
1760,2,43,1,10000,1,2,1,4,1,2,2
759,2,43,1,12000,1,1,1,8,1,2,1
1031,1,43,1,20000,1,1,1,1,1,2,1
851,1,43,1,36000,1,1,2,4,1,2,1
823,1,43,1,40000,1,1,1,1,1,2,1
1474,1,43,1,44000,1,2,1,1,1,2,1
1165,1,44,1,10400,1,2,2,2,1,2,2
1498,1,44,1,12000,1,1,1,4,1,2,1
919,1,44,1,24000,2,1,1,1,1,2,1
765,1,45,1,6000,1,1,2,4,1,2,1
313,1,45,1,6800,2,1,1,2,1,2,1
420,2,45,1,8800,2,1,1,4,1,2,2
1476,2,45,1,24000,1,2,1,4,1,2,2
1602,1,45,1,56000,1,2,1,5,1,2,2
849,1,46,1,6000,2,1,1,6,1,2,1
229,1,46,1,8000,1,1,1,1,1,2,2
1025,2,46,1,10000,1,1,1,1,1,2,2
1509,1,46,1,12800,1,1,1,3,1,2,1
218,1,46,1,24000,1,2,2,1,1,2,2
1683,1,46,1,38000,2,2,1,4,1,2,2
1993,1,47,1,7000,1,1,1,1,1,2,2
291,2,47,1,8000,1,2,1,1,1,2,1
1801,1,47,1,10000,1,2,1,4,1,2,1
